az;el;distance
-90.00;-60.00;203
-89.00;-60.00;200
-88.00;-60.00;202
-87.00;-60.00;199
-86.00;-60.00;199
-85.00;-60.00;198
-84.00;-60.00;199
-83.00;-60.00;197
-82.00;-60.00;201
-81.00;-60.00;198
-80.00;-60.00;197
-79.00;-60.00;198
-78.00;-60.00;199
-77.00;-60.00;200
-76.00;-60.00;204
-75.00;-60.00;201
-74.00;-60.00;198
-73.00;-60.00;199
-72.00;-60.00;202
-71.00;-60.00;201
-70.00;-60.00;202
-69.00;-60.00;202
-68.00;-60.00;201
-67.00;-60.00;202
-66.00;-60.00;204
-65.00;-60.00;204
-64.00;-60.00;205
-63.00;-60.00;208
-62.00;-60.00;206
-61.00;-60.00;210
-60.00;-60.00;211
-59.00;-60.00;216
-58.00;-60.00;220
-57.00;-60.00;221
-56.00;-60.00;222
-55.00;-60.00;215
-54.00;-60.00;147
-53.00;-60.00;124
-52.00;-60.00;109
-51.00;-60.00;108
-50.00;-60.00;106
-49.00;-60.00;107
-48.00;-60.00;105
-47.00;-60.00;105
-46.00;-60.00;106
-45.00;-60.00;107
-44.00;-60.00;107
-43.00;-60.00;107
-42.00;-60.00;109
-41.00;-60.00;112
-40.00;-60.00;123
-39.00;-60.00;123
-38.00;-60.00;124
-37.00;-60.00;127
-36.00;-60.00;127
-35.00;-60.00;129
-34.00;-60.00;133
-33.00;-60.00;133
-32.00;-60.00;133
-31.00;-60.00;131
-30.00;-60.00;132
-29.00;-60.00;132
-28.00;-60.00;131
-27.00;-60.00;133
-26.00;-60.00;132
-25.00;-60.00;133
-24.00;-60.00;139
-23.00;-60.00;141
-22.00;-60.00;142
-21.00;-60.00;143
-20.00;-60.00;142
-19.00;-60.00;143
-18.00;-60.00;142
-17.00;-60.00;140
-16.00;-60.00;141
-15.00;-60.00;142
-14.00;-60.00;138
-13.00;-60.00;141
-12.00;-60.00;138
-11.00;-60.00;139
-10.00;-60.00;140
-9.00;-60.00;141
-8.00;-60.00;138
-7.00;-60.00;137
-6.00;-60.00;137
-5.00;-60.00;134
-4.00;-60.00;134
-3.00;-60.00;136
-2.00;-60.00;134
-1.00;-60.00;133
0.00;-60.00;133
1.00;-60.00;132
2.00;-60.00;133
3.00;-60.00;134
4.00;-60.00;135
5.00;-60.00;134
6.00;-60.00;134
7.00;-60.00;134
8.00;-60.00;134
9.00;-60.00;135
10.00;-60.00;135
11.00;-60.00;133
12.00;-60.00;134
13.00;-60.00;134
14.00;-60.00;134
15.00;-60.00;134
16.00;-60.00;133
17.00;-60.00;134
18.00;-60.00;134
19.00;-60.00;134
20.00;-60.00;135
21.00;-60.00;137
22.00;-60.00;135
23.00;-60.00;137
24.00;-60.00;138
25.00;-60.00;138
26.00;-60.00;139
27.00;-60.00;139
28.00;-60.00;139
29.00;-60.00;140
30.00;-60.00;141
31.00;-60.00;138
32.00;-60.00;138
33.00;-60.00;139
34.00;-60.00;139
35.00;-60.00;138
36.00;-60.00;140
37.00;-60.00;143
38.00;-60.00;144
39.00;-60.00;145
40.00;-60.00;193
41.00;-60.00;215
42.00;-60.00;217
43.00;-60.00;219
44.00;-60.00;218
45.00;-60.00;221
46.00;-60.00;220
47.00;-60.00;219
48.00;-60.00;221
49.00;-60.00;219
50.00;-60.00;219
51.00;-60.00;221
52.00;-60.00;220
53.00;-60.00;219
54.00;-60.00;220
55.00;-60.00;219
56.00;-60.00;221
57.00;-60.00;220
58.00;-60.00;219
59.00;-60.00;221
60.00;-60.00;220
61.00;-60.00;219
62.00;-60.00;221
63.00;-60.00;221
64.00;-60.00;220
65.00;-60.00;220
66.00;-60.00;219
67.00;-60.00;220
68.00;-60.00;220
69.00;-60.00;222
70.00;-60.00;219
71.00;-60.00;221
72.00;-60.00;221
73.00;-60.00;220
74.00;-60.00;220
75.00;-60.00;220
76.00;-60.00;221
77.00;-60.00;223
78.00;-60.00;222
79.00;-60.00;223
80.00;-60.00;222
81.00;-60.00;223
82.00;-60.00;222
83.00;-60.00;221
84.00;-60.00;220
85.00;-60.00;223
86.00;-60.00;222
87.00;-60.00;221
88.00;-60.00;221
89.00;-60.00;221
90.00;-60.00;220
-90.00;-59.00;196
-89.00;-59.00;193
-88.00;-59.00;192
-87.00;-59.00;193
-86.00;-59.00;193
-85.00;-59.00;190
-84.00;-59.00;190
-83.00;-59.00;190
-82.00;-59.00;192
-81.00;-59.00;189
-80.00;-59.00;190
-79.00;-59.00;188
-78.00;-59.00;189
-77.00;-59.00;190
-76.00;-59.00;189
-75.00;-59.00;192
-74.00;-59.00;192
-73.00;-59.00;192
-72.00;-59.00;192
-71.00;-59.00;193
-70.00;-59.00;192
-69.00;-59.00;192
-68.00;-59.00;196
-67.00;-59.00;195
-66.00;-59.00;194
-65.00;-59.00;195
-64.00;-59.00;196
-63.00;-59.00;198
-62.00;-59.00;201
-61.00;-59.00;199
-60.00;-59.00;202
-59.00;-59.00;202
-58.00;-59.00;203
-57.00;-59.00;204
-56.00;-59.00;207
-55.00;-59.00;204
-54.00;-59.00;183
-53.00;-59.00;172
-52.00;-59.00;166
-51.00;-59.00;158
-50.00;-59.00;144
-49.00;-59.00;124
-48.00;-59.00;114
-47.00;-59.00;110
-46.00;-59.00;106
-45.00;-59.00;106
-44.00;-59.00;108
-43.00;-59.00;106
-42.00;-59.00;106
-41.00;-59.00;106
-40.00;-59.00;108
-39.00;-59.00;110
-38.00;-59.00;122
-37.00;-59.00;123
-36.00;-59.00;125
-35.00;-59.00;126
-34.00;-59.00;127
-33.00;-59.00;129
-32.00;-59.00;137
-31.00;-59.00;133
-30.00;-59.00;133
-29.00;-59.00;132
-28.00;-59.00;132
-27.00;-59.00;131
-26.00;-59.00;132
-25.00;-59.00;135
-24.00;-59.00;134
-23.00;-59.00;136
-22.00;-59.00;140
-21.00;-59.00;143
-20.00;-59.00;143
-19.00;-59.00;142
-18.00;-59.00;144
-17.00;-59.00;143
-16.00;-59.00;142
-15.00;-59.00;141
-14.00;-59.00;140
-13.00;-59.00;139
-12.00;-59.00;136
-11.00;-59.00;136
-10.00;-59.00;136
-9.00;-59.00;135
-8.00;-59.00;136
-7.00;-59.00;135
-6.00;-59.00;139
-5.00;-59.00;136
-4.00;-59.00;136
-3.00;-59.00;137
-2.00;-59.00;138
-1.00;-59.00;137
0.00;-59.00;138
1.00;-59.00;136
2.00;-59.00;136
3.00;-59.00;136
4.00;-59.00;135
5.00;-59.00;135
6.00;-59.00;137
7.00;-59.00;135
8.00;-59.00;135
9.00;-59.00;135
10.00;-59.00;135
11.00;-59.00;136
12.00;-59.00;135
13.00;-59.00;135
14.00;-59.00;135
15.00;-59.00;136
16.00;-59.00;135
17.00;-59.00;135
18.00;-59.00;136
19.00;-59.00;137
20.00;-59.00;136
21.00;-59.00;136
22.00;-59.00;136
23.00;-59.00;138
24.00;-59.00;140
25.00;-59.00;140
26.00;-59.00;138
27.00;-59.00;139
28.00;-59.00;139
29.00;-59.00;139
30.00;-59.00;141
31.00;-59.00;139
32.00;-59.00;140
33.00;-59.00;139
34.00;-59.00;139
35.00;-59.00;140
36.00;-59.00;146
37.00;-59.00;145
38.00;-59.00;148
39.00;-59.00;155
40.00;-59.00;217
41.00;-59.00;218
42.00;-59.00;221
43.00;-59.00;219
44.00;-59.00;221
45.00;-59.00;220
46.00;-59.00;220
47.00;-59.00;222
48.00;-59.00;222
49.00;-59.00;222
50.00;-59.00;220
51.00;-59.00;223
52.00;-59.00;221
53.00;-59.00;221
54.00;-59.00;221
55.00;-59.00;221
56.00;-59.00;222
57.00;-59.00;222
58.00;-59.00;222
59.00;-59.00;220
60.00;-59.00;222
61.00;-59.00;220
62.00;-59.00;222
63.00;-59.00;223
64.00;-59.00;220
65.00;-59.00;221
66.00;-59.00;221
67.00;-59.00;220
68.00;-59.00;221
69.00;-59.00;220
70.00;-59.00;221
71.00;-59.00;221
72.00;-59.00;223
73.00;-59.00;222
74.00;-59.00;223
75.00;-59.00;221
76.00;-59.00;223
77.00;-59.00;220
78.00;-59.00;224
79.00;-59.00;226
80.00;-59.00;222
81.00;-59.00;223
82.00;-59.00;222
83.00;-59.00;225
84.00;-59.00;222
85.00;-59.00;222
86.00;-59.00;224
87.00;-59.00;223
88.00;-59.00;221
89.00;-59.00;221
90.00;-59.00;223
-90.00;-58.00;188
-89.00;-58.00;188
-88.00;-58.00;184
-87.00;-58.00;186
-86.00;-58.00;184
-85.00;-58.00;185
-84.00;-58.00;183
-83.00;-58.00;184
-82.00;-58.00;184
-81.00;-58.00;183
-80.00;-58.00;184
-79.00;-58.00;184
-78.00;-58.00;185
-77.00;-58.00;187
-76.00;-58.00;185
-75.00;-58.00;185
-74.00;-58.00;185
-73.00;-58.00;184
-72.00;-58.00;184
-71.00;-58.00;187
-70.00;-58.00;187
-69.00;-58.00;184
-68.00;-58.00;185
-67.00;-58.00;187
-66.00;-58.00;187
-65.00;-58.00;190
-64.00;-58.00;191
-63.00;-58.00;191
-62.00;-58.00;191
-61.00;-58.00;193
-60.00;-58.00;193
-59.00;-58.00;196
-58.00;-58.00;195
-57.00;-58.00;196
-56.00;-58.00;198
-55.00;-58.00;199
-54.00;-58.00;176
-53.00;-58.00;177
-52.00;-58.00;175
-51.00;-58.00;172
-50.00;-58.00;157
-49.00;-58.00;145
-48.00;-58.00;143
-47.00;-58.00;142
-46.00;-58.00;135
-45.00;-58.00;124
-44.00;-58.00;110
-43.00;-58.00;107
-42.00;-58.00;107
-41.00;-58.00;108
-40.00;-58.00;107
-39.00;-58.00;108
-38.00;-58.00;109
-37.00;-58.00;110
-36.00;-58.00;110
-35.00;-58.00;126
-34.00;-58.00;122
-33.00;-58.00;127
-32.00;-58.00;131
-31.00;-58.00;132
-30.00;-58.00;136
-29.00;-58.00;134
-28.00;-58.00;133
-27.00;-58.00;134
-26.00;-58.00;132
-25.00;-58.00;132
-24.00;-58.00;133
-23.00;-58.00;134
-22.00;-58.00;134
-21.00;-58.00;136
-20.00;-58.00;139
-19.00;-58.00;141
-18.00;-58.00;141
-17.00;-58.00;140
-16.00;-58.00;136
-15.00;-58.00;135
-14.00;-58.00;136
-13.00;-58.00;136
-12.00;-58.00;136
-11.00;-58.00;138
-10.00;-58.00;137
-9.00;-58.00;138
-8.00;-58.00;138
-7.00;-58.00;140
-6.00;-58.00;140
-5.00;-58.00;141
-4.00;-58.00;139
-3.00;-58.00;139
-2.00;-58.00;138
-1.00;-58.00;138
