az;el;distance
0.00;0.00;19
2.00;0.00;25
4.00;0.00;32
6.00;0.00;29
8.00;0.00;34
10.00;0.00;32
12.00;0.00;30
14.00;0.00;30
16.00;0.00;35
18.00;0.00;39
20.00;0.00;38
22.00;0.00;44
24.00;0.00;38
26.00;0.00;44
28.00;0.00;40
30.00;0.00;40
32.00;0.00;42
34.00;0.00;38
36.00;0.00;39
38.00;0.00;35
40.00;0.00;38
42.00;0.00;39
44.00;0.00;40
46.00;0.00;45
48.00;0.00;44
50.00;0.00;51
52.00;0.00;60
54.00;0.00;63
56.00;0.00;84
58.00;0.00;84
60.00;0.00;84
62.00;0.00;83
64.00;0.00;88
66.00;0.00;83
68.00;0.00;63
70.00;0.00;68
72.00;0.00;74
74.00;0.00;80
76.00;0.00;76
78.00;0.00;77
80.00;0.00;71
82.00;0.00;68
84.00;0.00;77
86.00;0.00;61
88.00;0.00;54
90.00;0.00;59
92.00;0.00;55
94.00;0.00;56
96.00;0.00;61
98.00;0.00;75
100.00;0.00;84
102.00;0.00;87
104.00;0.00;85
106.00;0.00;91
108.00;0.00;78
110.00;0.00;81
112.00;0.00;67
114.00;0.00;69
116.00;0.00;85
118.00;0.00;88
120.00;0.00;92
122.00;0.00;90
124.00;0.00;101
126.00;0.00;92
128.00;0.00;97
130.00;0.00;88
132.00;0.00;96
134.00;0.00;91
136.00;0.00;92
138.00;0.00;91
140.00;0.00;93
142.00;0.00;102
144.00;0.00;111
146.00;0.00;107
148.00;0.00;109
150.00;0.00;111
152.00;0.00;58
154.00;0.00;48
156.00;0.00;47
158.00;0.00;49
160.00;0.00;44
162.00;0.00;44
164.00;0.00;47
166.00;0.00;45
168.00;0.00;60
170.00;0.00;54
172.00;0.00;75
174.00;0.00;73
176.00;0.00;81
178.00;0.00;61
180.00;0.00;53
0.00;1.00;23
2.00;1.00;23
4.00;1.00;27
6.00;1.00;33
8.00;1.00;28
10.00;1.00;33
12.00;1.00;38
14.00;1.00;38
16.00;1.00;33
18.00;1.00;39
20.00;1.00;42
22.00;1.00;39
24.00;1.00;45
26.00;1.00;51
28.00;1.00;38
30.00;1.00;40
32.00;1.00;39
34.00;1.00;42
36.00;1.00;32
38.00;1.00;39
40.00;1.00;40
42.00;1.00;40
44.00;1.00;43
46.00;1.00;45
48.00;1.00;53
50.00;1.00;54
52.00;1.00;61
54.00;1.00;65
56.00;1.00;84
58.00;1.00;81
60.00;1.00;84
62.00;1.00;86
64.00;1.00;86
66.00;1.00;71
68.00;1.00;53
70.00;1.00;75
72.00;1.00;80
74.00;1.00;83
76.00;1.00;79
78.00;1.00;77
80.00;1.00;74
82.00;1.00;72
84.00;1.00;78
86.00;1.00;67
88.00;1.00;58
90.00;1.00;62
92.00;1.00;61
94.00;1.00;66
96.00;1.00;63
98.00;1.00;74
100.00;1.00;84
102.00;1.00;88
104.00;1.00;85
106.00;1.00;86
108.00;1.00;86
110.00;1.00;87
112.00;1.00;77
114.00;1.00;74
116.00;1.00;90
118.00;1.00;88
120.00;1.00;89
122.00;1.00;92
124.00;1.00;90
126.00;1.00;94
128.00;1.00;95
130.00;1.00;104
132.00;1.00;101
134.00;1.00;101
136.00;1.00;94
138.00;1.00;93
140.00;1.00;94
142.00;1.00;101
144.00;1.00;102
146.00;1.00;90
148.00;1.00;112
150.00;1.00;126
152.00;1.00;129
154.00;1.00;55
156.00;1.00;51
158.00;1.00;52
160.00;1.00;62
162.00;1.00;150
164.00;1.00;149
166.00;1.00;137
168.00;1.00;96
170.00;1.00;93
172.00;1.00;92
174.00;1.00;94
176.00;1.00;146
178.00;1.00;138
180.00;1.00;118
0.00;2.00;22
2.00;2.00;25
4.00;2.00;27
6.00;2.00;28
8.00;2.00;30
10.00;2.00;38
12.00;2.00;35
14.00;2.00;35
16.00;2.00;37
18.00;2.00;40
20.00;2.00;39
22.00;2.00;43
24.00;2.00;42
26.00;2.00;48
28.00;2.00;47
30.00;2.00;40
32.00;2.00;38
34.00;2.00;43
36.00;2.00;37
