az;el;distance
-90.00;-10.00;259
-89.00;-10.00;260
-88.00;-10.00;261
-87.00;-10.00;262
-86.00;-10.00;261
-85.00;-10.00;259
-84.00;-10.00;263
-83.00;-10.00;264
-82.00;-10.00;262
-81.00;-10.00;265
-80.00;-10.00;266
-79.00;-10.00;264
-78.00;-10.00;265
-77.00;-10.00;267
-76.00;-10.00;264
-75.00;-10.00;267
-74.00;-10.00;267
-73.00;-10.00;268
-72.00;-10.00;267
-71.00;-10.00;271
-70.00;-10.00;274
-69.00;-10.00;272
-68.00;-10.00;274
-67.00;-10.00;274
-66.00;-10.00;276
-65.00;-10.00;278
-64.00;-10.00;282
-63.00;-10.00;281
-62.00;-10.00;284
-61.00;-10.00;283
-60.00;-10.00;286
-59.00;-10.00;287
-58.00;-10.00;287
-57.00;-10.00;288
-56.00;-10.00;291
-55.00;-10.00;290
-54.00;-10.00;294
-53.00;-10.00;292
-52.00;-10.00;291
-51.00;-10.00;298
-50.00;-10.00;294
-49.00;-10.00;298
-48.00;-10.00;296
-47.00;-10.00;302
-46.00;-10.00;305
-45.00;-10.00;300
-44.00;-10.00;305
-43.00;-10.00;304
-42.00;-10.00;308
-41.00;-10.00;307
-40.00;-10.00;308
-39.00;-10.00;308
-38.00;-10.00;313
-37.00;-10.00;308
-36.00;-10.00;308
-35.00;-10.00;308
-34.00;-10.00;308
-33.00;-10.00;311
-32.00;-10.00;304
-31.00;-10.00;308
-30.00;-10.00;310
-29.00;-10.00;306
-28.00;-10.00;301
-27.00;-10.00;305
-26.00;-10.00;304
-25.00;-10.00;305
-24.00;-10.00;303
-23.00;-10.00;302
-22.00;-10.00;302
-21.00;-10.00;302
-20.00;-10.00;305
-19.00;-10.00;305
-18.00;-10.00;298
-17.00;-10.00;305
-16.00;-10.00;299
-15.00;-10.00;298
-14.00;-10.00;301
-13.00;-10.00;297
-12.00;-10.00;299
-11.00;-10.00;304
-10.00;-10.00;302
-9.00;-10.00;301
-8.00;-10.00;299
-7.00;-10.00;299
-6.00;-10.00;300
-5.00;-10.00;297
-4.00;-10.00;304
-3.00;-10.00;295
-2.00;-10.00;303
-1.00;-10.00;301
0.00;-10.00;297
1.00;-10.00;295
2.00;-10.00;296
3.00;-10.00;304
4.00;-10.00;299
5.00;-10.00;298
6.00;-10.00;295
7.00;-10.00;298
8.00;-10.00;300
9.00;-10.00;296
10.00;-10.00;301
11.00;-10.00;299
12.00;-10.00;299
13.00;-10.00;302
14.00;-10.00;299
15.00;-10.00;303
16.00;-10.00;301
17.00;-10.00;302
18.00;-10.00;304
19.00;-10.00;305
20.00;-10.00;308
21.00;-10.00;301
22.00;-10.00;302
23.00;-10.00;299
24.00;-10.00;299
25.00;-10.00;304
26.00;-10.00;305
27.00;-10.00;302
28.00;-10.00;304
29.00;-10.00;305
30.00;-10.00;307
31.00;-10.00;310
32.00;-10.00;307
33.00;-10.00;310
34.00;-10.00;309
35.00;-10.00;314
36.00;-10.00;308
37.00;-10.00;310
38.00;-10.00;315
39.00;-10.00;308
40.00;-10.00;310
41.00;-10.00;311
42.00;-10.00;316
43.00;-10.00;309
44.00;-10.00;312
45.00;-10.00;309
46.00;-10.00;312
47.00;-10.00;315
48.00;-10.00;319
49.00;-10.00;317
50.00;-10.00;318
51.00;-10.00;319
52.00;-10.00;316
53.00;-10.00;316
54.00;-10.00;313
55.00;-10.00;319
56.00;-10.00;315
57.00;-10.00;314
58.00;-10.00;316
59.00;-10.00;312
60.00;-10.00;313
61.00;-10.00;310
62.00;-10.00;310
63.00;-10.00;310
64.00;-10.00;312
65.00;-10.00;312
66.00;-10.00;308
67.00;-10.00;310
68.00;-10.00;312
69.00;-10.00;306
70.00;-10.00;307
71.00;-10.00;305
72.00;-10.00;307
73.00;-10.00;304
74.00;-10.00;305
75.00;-10.00;298
76.00;-10.00;298
77.00;-10.00;296
78.00;-10.00;302
79.00;-10.00;296
80.00;-10.00;297
81.00;-10.00;293
82.00;-10.00;293
83.00;-10.00;291
84.00;-10.00;289
85.00;-10.00;291
86.00;-10.00;288
87.00;-10.00;287
88.00;-10.00;285
89.00;-10.00;287
-90.00;-6.00;262
-89.00;-6.00;265
-88.00;-6.00;268
-87.00;-6.00;262
-86.00;-6.00;263
-85.00;-6.00;263
-84.00;-6.00;266
-83.00;-6.00;267
-82.00;-6.00;267
-81.00;-6.00;264
-80.00;-6.00;264
-79.00;-6.00;264
-78.00;-6.00;265
-77.00;-6.00;266
-76.00;-6.00;270
-75.00;-6.00;269
-74.00;-6.00;268
-73.00;-6.00;271
-72.00;-6.00;269
-71.00;-6.00;272
-70.00;-6.00;275
-69.00;-6.00;275
-68.00;-6.00;278
-67.00;-6.00;282
-66.00;-6.00;278
-65.00;-6.00;284
-64.00;-6.00;283
-63.00;-6.00;289
-62.00;-6.00;288
-61.00;-6.00;292
-60.00;-6.00;295
-59.00;-6.00;292
-58.00;-6.00;302
-57.00;-6.00;299
-56.00;-6.00;300
-55.00;-6.00;301
-54.00;-6.00;301
-53.00;-6.00;309
-52.00;-6.00;307
-51.00;-6.00;309
-50.00;-6.00;313
-49.00;-6.00;314
-48.00;-6.00;319
-47.00;-6.00;323
-46.00;-6.00;320
-45.00;-6.00;323
-44.00;-6.00;321
-43.00;-6.00;331
-42.00;-6.00;329
-41.00;-6.00;336
-40.00;-6.00;341
-39.00;-6.00;339
-38.00;-6.00;340
-37.00;-6.00;340
-36.00;-6.00;343
-35.00;-6.00;350
-34.00;-6.00;344
-33.00;-6.00;342
-32.00;-6.00;350
-31.00;-6.00;349
-30.00;-6.00;350
-29.00;-6.00;352
-28.00;-6.00;350
-27.00;-6.00;350
-26.00;-6.00;352
-25.00;-6.00;349
-24.00;-6.00;344
-23.00;-6.00;347
-22.00;-6.00;348
-21.00;-6.00;347
-20.00;-6.00;345
-19.00;-6.00;349
-18.00;-6.00;345
-17.00;-6.00;346
-16.00;-6.00;346
-15.00;-6.00;342
-14.00;-6.00;340
-13.00;-6.00;342
-12.00;-6.00;348
-11.00;-6.00;348
-10.00;-6.00;346
-9.00;-6.00;347
-8.00;-6.00;341
-7.00;-6.00;344
-6.00;-6.00;343
-5.00;-6.00;342
-4.00;-6.00;346
-3.00;-6.00;342
-2.00;-6.00;343
-1.00;-6.00;343
0.00;-6.00;346
1.00;-6.00;337
2.00;-6.00;343
3.00;-6.00;339
4.00;-6.00;341
5.00;-6.00;341
6.00;-6.00;343
7.00;-6.00;345
8.00;-6.00;343
9.00;-6.00;342
10.00;-6.00;349
11.00;-6.00;345
12.00;-6.00;346
13.00;-6.00;354
14.00;-6.00;350
15.00;-6.00;351
16.00;-6.00;351
17.00;-6.00;353
18.00;-6.00;348
19.00;-6.00;357
20.00;-6.00;357
21.00;-6.00;348
22.00;-6.00;354
23.00;-6.00;358
24.00;-6.00;355
25.00;-6.00;361
26.00;-6.00;355
27.00;-6.00;360
28.00;-6.00;357
29.00;-6.00;355
30.00;-6.00;358
31.00;-6.00;358
32.00;-6.00;361
33.00;-6.00;359
34.00;-6.00;368
35.00;-6.00;361
36.00;-6.00;366
37.00;-6.00;365
38.00;-6.00;370
39.00;-6.00;364
40.00;-6.00;362
41.00;-6.00;358
42.00;-6.00;364
43.00;-6.00;370
44.00;-6.00;365
45.00;-6.00;366
46.00;-6.00;358
47.00;-6.00;357
48.00;-6.00;361
49.00;-6.00;354
50.00;-6.00;359
51.00;-6.00;354
52.00;-6.00;354
53.00;-6.00;357
54.00;-6.00;352
55.00;-6.00;342
56.00;-6.00;350
57.00;-6.00;342
58.00;-6.00;342
59.00;-6.00;337
60.00;-6.00;333
61.00;-6.00;336
62.00;-6.00;337
63.00;-6.00;331
64.00;-6.00;330
65.00;-6.00;324
66.00;-6.00;328
67.00;-6.00;326
68.00;-6.00;319
69.00;-6.00;322
70.00;-6.00;319
71.00;-6.00;316
72.00;-6.00;315
73.00;-6.00;314
74.00;-6.00;310
75.00;-6.00;308
76.00;-6.00;308
77.00;-6.00;305
78.00;-6.00;304
79.00;-6.00;300
80.00;-6.00;297
81.00;-6.00;297
82.00;-6.00;299
83.00;-6.00;296
84.00;-6.00;293
85.00;-6.00;289
86.00;-6.00;288
87.00;-6.00;289
88.00;-6.00;287
89.00;-6.00;289
-90.00;-2.00;256
-89.00;-2.00;261
-88.00;-2.00;260
-87.00;-2.00;261
-86.00;-2.00;261
-85.00;-2.00;268
-84.00;-2.00;264
-83.00;-2.00;263
-82.00;-2.00;265
-81.00;-2.00;267
-80.00;-2.00;262
-79.00;-2.00;264
-78.00;-2.00;265
-77.00;-2.00;262
-76.00;-2.00;266
-75.00;-2.00;270
-74.00;-2.00;270
-73.00;-2.00;271
-72.00;-2.00;270
-71.00;-2.00;273
-70.00;-2.00;273
-69.00;-2.00;274
-68.00;-2.00;276
-67.00;-2.00;278
-66.00;-2.00;287
-65.00;-2.00;284
-64.00;-2.00;285
-63.00;-2.00;285
-62.00;-2.00;292
-61.00;-2.00;294
-60.00;-2.00;295
-59.00;-2.00;300
-58.00;-2.00;303
-57.00;-2.00;305
-56.00;-2.00;310
-55.00;-2.00;309
-54.00;-2.00;311
-53.00;-2.00;313
-52.00;-2.00;319
-51.00;-2.00;321
-50.00;-2.00;318
-49.00;-2.00;328
-48.00;-2.00;330
-47.00;-2.00;332
-46.00;-2.00;338
-45.00;-2.00;339
-44.00;-2.00;344
-43.00;-2.00;349
-42.00;-2.00;350
-41.00;-2.00;358
-40.00;-2.00;361
-39.00;-2.00;361
-38.00;-2.00;367
